OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,OFFER_clean,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,IS_CHILD_CATEGORY_TO_compli,training_str
"CORE® Hydration, select varieties, buy 2 at Walmart",WALMART,CORE HYDRATION,WATER,,WATER,BEVERAGES,,"  CORE HYDRATION WALMART WATER, WATER"
"Colgate® Toothpaste AND Colgate® Toothbrush, select varieties at Walmart or Target",TARGET,COLGATE TOOTHBRUSHES,ORAL CARE,,ORAL CARE,HEALTH & WELLNESS,,"  COLGATE TOOTHBRUSHES TARGET ORAL CARE, ORAL CARE"
"EXTRA®, select varieties",,EXTRA,GUM,,GUM,CANDY,SNACKS,"  EXTRA   GUM, SNACKS"
"EXTRA®, select sizes",,EXTRA,GUM,,GUM,CANDY,SNACKS,"  EXTRA   GUM, SNACKS"
Wonderworks™ Keto* Friendly Cereal,,WONDERWORKS,"CEREAL, GRANOLA, & TOASTER PASTRIES",,"CEREAL, GRANOLA, & TOASTER PASTRIES",PANTRY,,"  WONDERWORKS   CEREAL, GRANOLA, & TOASTER PASTRIES, CEREAL, GRANOLA, & TOASTER PASTRIES"
"MTN DEW® Kickstart, 16-ounce 12 count, select varieties, at Amazon Storefront*",AMAZON,MOUNTAIN DEW,CARBONATED SOFT DRINKS,,CARBONATED SOFT DRINKS,BEVERAGES,,"  MOUNTAIN DEW AMAZON CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
"Stubborn Soda OR Bundaberg Ginger Beer, select varieties, at Amazon Storefront*",AMAZON,STUBBORN SODA,CARBONATED SOFT DRINKS,,CARBONATED SOFT DRINKS,BEVERAGES,,"  STUBBORN SODA AMAZON CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
"ORBIT®, select sizes, buy 1",,ORBIT,GUM,,GUM,CANDY,SNACKS,"  ORBIT   GUM, SNACKS"
"ORBIT®, select varieties",,ORBIT,GUM,,GUM,CANDY,SNACKS,"  ORBIT   GUM, SNACKS"
"Molson Coors®, select varieties, 12 Pack+, buy 2",,TOPO CHICO HARD SELTZER,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",ALCOHOL,,"  TOPO CHICO HARD SELTZER   HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS, HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS"
"Starry™ Lemon Lime Soda multipacks, at Kroger",DILLONS GROCERY,STARRY,CARBONATED SOFT DRINKS,,CARBONATED SOFT DRINKS,BEVERAGES,,"  STARRY DILLONS GROCERY CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
"Starry™ Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront*",AMAZON,STARRY,CARBONATED SOFT DRINKS,,CARBONATED SOFT DRINKS,BEVERAGES,,"  STARRY AMAZON CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
"Tyson Products, select varieties, spend $15 at Walmart",WALMART,AIDELLS,PACKAGED MEAT,,PACKAGED MEAT,PANTRY,,"  AIDELLS WALMART PACKAGED MEAT, PACKAGED MEAT"
"Häagen-Dazs®, 28 ounce, at GROCERY* stores",,HAAGEN DAZS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  HAAGEN DAZS   FROZEN DESSERTS, FROZEN"
"André® California, Champagne OR Sparkling Wines, 750mL bottle",,ANDRE,WINE,,WINE,ALCOHOL,,"  ANDRE   WINE, WINE"
Degree for Men OR Women Dry Spray,,DEGREE,DEODORANT & ANTIPERSPIRANT,,DEODORANT & ANTIPERSPIRANT,HEALTH & WELLNESS,,"  DEGREE   DEODORANT & ANTIPERSPIRANT, DEODORANT & ANTIPERSPIRANT"
Cheerios™ Oat Crunch Berry Cereal,,CHEERIOS,"CEREAL, GRANOLA, & TOASTER PASTRIES",,"CEREAL, GRANOLA, & TOASTER PASTRIES",PANTRY,,"  CHEERIOS   CEREAL, GRANOLA, & TOASTER PASTRIES, CEREAL, GRANOLA, & TOASTER PASTRIES"
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,SNUGGLE,HOUSEHOLD SUPPLIES,,HOUSEHOLD SUPPLIES,HOUSEHOLD SUPPLIES,HOUSEHOLD SUPPLIES,"  SNUGGLE WALMART HOUSEHOLD SUPPLIES, HOUSEHOLD SUPPLIES"
"General Mills™ snacks, select brands, spend $10",,BUGLES,CHIPS,,CHIPS,SNACKS,,"  BUGLES   CHIPS, CHIPS"
The Rustik Oven® bread,,RUSTIK OVEN,BREAD,,BREAD,PANTRY,,"  RUSTIK OVEN   BREAD, BREAD"
Spend $15 at Burger King,BURGER KING,BURGER KING,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  BURGER KING BURGER KING COOKING & BAKING, COOKING & BAKING"
Cameron’s Coffee EcoPods,,CAMERON'S COFFEE,COFFEE,,COFFEE,BEVERAGES,,"  CAMERON'S COFFEE   COFFEE, COFFEE"
"Jack Link's®, select varieties",,JACK LINKS,JERKY & DRIED MEAT,,JERKY & DRIED MEAT,SNACKS,,"  JACK LINKS   JERKY & DRIED MEAT, JERKY & DRIED MEAT"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,CHEESE,Any General Products Good Rewards Members,CHEESE,DAIRY,DAIRY,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   CHEESE, DAIRY"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,CRACKERS,Any General Products Good Rewards Members,CRACKERS,SNACKS,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   CRACKERS, CRACKERS"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,FRUIT & VEGETABLE SNACKS,Any General Products Good Rewards Members,FRUIT & VEGETABLE SNACKS,SNACKS,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,DRESSINGS,Any General Products Good Rewards Members,DRESSINGS,PANTRY,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   DRESSINGS, DRESSINGS"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,COOKING & BAKING,Any General Products Good Rewards Members,COOKING & BAKING,PANTRY,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   COOKING & BAKING, COOKING & BAKING"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,REFRIGERATED DOUGHS,Any General Products Good Rewards Members,REFRIGERATED DOUGHS,DAIRY,DAIRY,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   REFRIGERATED DOUGHS, DAIRY"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,PACKAGED VEGETABLES,Any General Products Good Rewards Members,PACKAGED VEGETABLES,PANTRY,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   PACKAGED VEGETABLES, PACKAGED VEGETABLES"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,FROZEN MEALS,Any General Products Good Rewards Members,FROZEN MEALS,FROZEN,FROZEN,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   FROZEN MEALS, FROZEN"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,CHIPS,Any General Products Good Rewards Members,CHIPS,SNACKS,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   CHIPS, CHIPS"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,FROZEN PIZZA & PIZZA SNACKS,Any General Products Good Rewards Members,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   FROZEN PIZZA & PIZZA SNACKS, FROZEN"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,"CEREAL, GRANOLA, & TOASTER PASTRIES",Any General Products Good Rewards Members,"CEREAL, GRANOLA, & TOASTER PASTRIES",PANTRY,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   CEREAL, GRANOLA, & TOASTER PASTRIES, CEREAL, GRANOLA, & TOASTER PASTRIES"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,BREAD,Any General Products Good Rewards Members,BREAD,PANTRY,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   BREAD, BREAD"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,FROZEN BREAKFAST,Any General Products Good Rewards Members,FROZEN BREAKFAST,FROZEN,FROZEN,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   FROZEN BREAKFAST, FROZEN"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,COOKIES,Any General Products Good Rewards Members,COOKIES,SNACKS,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   COOKIES, COOKIES"
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,SOUP & BROTH,Any General Products Good Rewards Members,SOUP & BROTH,PANTRY,,"Any General Products Good Rewards Members ANNIES HOMEGROWN GROCERY   SOUP & BROTH, SOUP & BROTH"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,PREPARED MEALS,Sign Rewards Tap Details,PREPARED MEALS,DELI & BAKERY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI PREPARED MEALS, PREPARED MEALS"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,LEAFY SALADS,Sign Rewards Tap Details,LEAFY SALADS,DELI & BAKERY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI LEAFY SALADS, LEAFY SALADS"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,TEA,Sign Rewards Tap Details,TEA,BEVERAGES,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI TEA, TEA"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,WINE,Sign Rewards Tap Details,WINE,ALCOHOL,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI WINE, WINE"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,FRUIT JUICES,Sign Rewards Tap Details,FRUIT JUICES,BEVERAGES,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI FRUIT JUICES, FRUIT JUICES"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,COOKIES,Sign Rewards Tap Details,COOKIES,SNACKS,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI COOKIES, COOKIES"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,CARBONATED SOFT DRINKS,Sign Rewards Tap Details,CARBONATED SOFT DRINKS,BEVERAGES,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,CHEESE,Sign Rewards Tap Details,CHEESE,DAIRY,DAIRY,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI CHEESE, DAIRY"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,CHIPS,Sign Rewards Tap Details,CHIPS,SNACKS,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI CHIPS, CHIPS"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,WATER,Sign Rewards Tap Details,WATER,BEVERAGES,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI WATER, WATER"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,MILK,Sign Rewards Tap Details,MILK,DAIRY,DAIRY,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI MILK, DAIRY"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,BAKERY,Sign Rewards Tap Details,BAKERY,DELI & BAKERY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI BAKERY, BAKERY"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,COOKING & BAKING,Sign Rewards Tap Details,COOKING & BAKING,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI COOKING & BAKING, COOKING & BAKING"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,PACKAGED MEALS & SIDES,Sign Rewards Tap Details,PACKAGED MEALS & SIDES,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,PICKLED GOODS,Sign Rewards Tap Details,PICKLED GOODS,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI PICKLED GOODS, PICKLED GOODS"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,SOUP & BROTH,Sign Rewards Tap Details,SOUP & BROTH,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI SOUP & BROTH, SOUP & BROTH"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,FROZEN CHICKEN,Sign Rewards Tap Details,FROZEN CHICKEN,FROZEN MEAT,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI FROZEN CHICKEN, FROZEN CHICKEN"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,CANDY,Sign Rewards Tap Details,CANDY,SNACKS,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI CANDY, CANDY"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,DRESSINGS,Sign Rewards Tap Details,DRESSINGS,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI DRESSINGS, DRESSINGS"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,COFFEE,Sign Rewards Tap Details,COFFEE,BEVERAGES,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI COFFEE, COFFEE"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,PACKAGED FRUIT & APPLESAUCE,Sign Rewards Tap Details,PACKAGED FRUIT & APPLESAUCE,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI PACKAGED FRUIT & APPLESAUCE, PACKAGED FRUIT & APPLESAUCE"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,FRUIT & VEGETABLE SNACKS,Sign Rewards Tap Details,FRUIT & VEGETABLE SNACKS,SNACKS,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,FROZEN MEALS,Sign Rewards Tap Details,FROZEN MEALS,FROZEN,FROZEN,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI FROZEN MEALS, FROZEN"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,SAUCES & MARINADES,Sign Rewards Tap Details,SAUCES & MARINADES,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI SAUCES & MARINADES, SAUCES & MARINADES"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,DIPS & SALSA,Sign Rewards Tap Details,DIPS & SALSA,SNACKS,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI DIPS & SALSA, DIPS & SALSA"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,BREAD,Sign Rewards Tap Details,BREAD,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI BREAD, BREAD"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,PASTA & NOODLES,Sign Rewards Tap Details,PASTA & NOODLES,PANTRY,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI PASTA & NOODLES, PASTA & NOODLES"
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,FROZEN TURKEY,Sign Rewards Tap Details,FROZEN TURKEY,FROZEN MEAT,,"Sign Rewards Tap Details MCALISTERS DELI MCALISTERS DELI FROZEN TURKEY, FROZEN TURKEY"
12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Pack Whole Pizza Pie,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Pack Whole Pizza Pie CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
12 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Pack Whole Pizza,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Pack Whole Pizza CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
12 pack OR 2 liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Pack Whole Pizza,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Pack Whole Pizza CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
2 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Pack Whole Pizza,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Pack Whole Pizza CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
:ratio™ KETO* Friendly Cereal OR Granola,,RATIO,"CEREAL, GRANOLA, & TOASTER PASTRIES",Keto Friendly Cereal Granola,"CEREAL, GRANOLA, & TOASTER PASTRIES",PANTRY,,"Keto Friendly Cereal Granola RATIO   CEREAL, GRANOLA, & TOASTER PASTRIES, CEREAL, GRANOLA, & TOASTER PASTRIES"
"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,ARNOLD BROWNBERRY OROWEAT,BREAD,Keto Bread,BREAD,PANTRY,,"Keto Bread ARNOLD BROWNBERRY OROWEAT   BREAD, BREAD"
"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,BREAD,Small Slice Bread,BREAD,PANTRY,,"Small Slice Bread ARNOLD BROWNBERRY OROWEAT WALMART BREAD, BREAD"
Arnold® Grains Almighty,,ARNOLD BROWNBERRY OROWEAT,BREAD,Grains Almighty,BREAD,PANTRY,,"Grains Almighty ARNOLD BROWNBERRY OROWEAT   BREAD, BREAD"
"Artesano® buns, buy 2 at Walmart®",WALMART,SARA LEE ARTESANO,BAKERY,Buns,BAKERY,DELI & BAKERY,,"Buns SARA LEE ARTESANO WALMART BAKERY, BAKERY"
"Bai® Antioxidant, 6 pack, at Walmart",WALMART,BAI,WATER,Antioxidant Pack,WATER,BEVERAGES,,"Antioxidant Pack BAI WALMART WATER, WATER"
"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,WATER,Antioxidant Pack,WATER,BEVERAGES,,"Antioxidant Pack BAI WALMART WATER, WATER"
"BallPark® buns, buy 2",,BALL PARK POP UPS,BREAD,Buns,BREAD,PANTRY,,"Buns BALL PARK POP UPS   BREAD, BREAD"
"Barilla® Pasta, select varieties, buy 2",,BARILLA,DRY PASTA,Pasta,DRY PASTA,PASTA & NOODLES,PANTRY,"Pasta BARILLA   DRY PASTA, PANTRY"
Barilla® Pesto Sauce,,BARILLA,PESTO SAUCE,Pesto Sauce,PESTO SAUCE,PASTA SAUCE,,"Pesto Sauce BARILLA   PESTO SAUCE, PESTO SAUCE"
"Barilla® pasta, select varieties, buy 2",,BARILLA,DRY PASTA,Pasta,DRY PASTA,PASTA & NOODLES,PANTRY,"Pasta BARILLA   DRY PASTA, PANTRY"
"Barilla® pasta, select varieties, buy 3",,BARILLA,DRY PASTA,Pasta,DRY PASTA,PASTA & NOODLES,PANTRY,"Pasta BARILLA   DRY PASTA, PANTRY"
"Barilla® pasta, select varieties, buy 4",,BARILLA,DRY PASTA,Pasta,DRY PASTA,PASTA & NOODLES,PANTRY,"Pasta BARILLA   DRY PASTA, PANTRY"
"Beech-Nut pouches, buy 8",,BEECHNUT,NUTS & SEEDS,Beech Nut Pouches,NUTS & SEEDS,SNACKS,,"Beech Nut Pouches BEECHNUT   NUTS & SEEDS, NUTS & SEEDS"
"Beech-Nut snacks, select varieties",,BEECHNUT,FRUIT & VEGETABLE SNACKS,Beech Nut Snacks,FRUIT & VEGETABLE SNACKS,SNACKS,,"Beech Nut Snacks BEECHNUT   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Beyond Meat® Plant-Based products, spend $15",,BEYOND MEAT,PLANT-BASED MEAT,Plant Based Products,PLANT-BASED MEAT,MEAT & SEAFOOD,,"Plant Based Products BEYOND MEAT   PLANT-BASED MEAT, PLANT-BASED MEAT"
"Beyond Meat® Plant-Based products, spend $20",,BEYOND MEAT,PLANT-BASED MEAT,Plant Based Products,PLANT-BASED MEAT,MEAT & SEAFOOD,,"Plant Based Products BEYOND MEAT   PLANT-BASED MEAT, PLANT-BASED MEAT"
"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,PLANT-BASED MEAT,Plant Based Products,PLANT-BASED MEAT,MEAT & SEAFOOD,,"Plant Based Products BEYOND MEAT   PLANT-BASED MEAT, PLANT-BASED MEAT"
"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,BEYOND MEAT,PLANT-BASED MEAT,Plant Based Seared Tips H E B,PLANT-BASED MEAT,MEAT & SEAFOOD,,"Plant Based Seared Tips H E B BEYOND MEAT H-E-B PLANT-BASED MEAT, PLANT-BASED MEAT"
"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,PLANT-BASED MEAT,Plant Based Seared Tips,PLANT-BASED MEAT,MEAT & SEAFOOD,,"Plant Based Seared Tips BEYOND MEAT TARGET PLANT-BASED MEAT, PLANT-BASED MEAT"
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,PLANT-BASED MEAT,Plant Based Seared Tips H E B,PLANT-BASED MEAT,MEAT & SEAFOOD,,"Plant Based Seared Tips H E B BEYOND MEAT H-E-B PLANT-BASED MEAT, PLANT-BASED MEAT"
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,BEYOND MEAT,PLANT-BASED MEAT,Plant Based Seared Tips,PLANT-BASED MEAT,MEAT & SEAFOOD,,"Plant Based Seared Tips BEYOND MEAT TARGET PLANT-BASED MEAT, PLANT-BASED MEAT"
"Bimbo® sweet baked goods, buy 2",,BIMBO,BAKERY,Sweet Baked Goods,BAKERY,DELI & BAKERY,,"Sweet Baked Goods BIMBO   BAKERY, BAKERY"
"Bio-Oil® Skincare Oil OR Gel, select varieties",,BIO OIL,SKIN CARE,Skincare Gel,SKIN CARE,HEALTH & WELLNESS,,"Skincare Gel BIO OIL   SKIN CARE, SKIN CARE"
"Bio-Oil® products, select varieties",,BIO OIL,SKIN CARE,Products,SKIN CARE,HEALTH & WELLNESS,,"Products BIO OIL   SKIN CARE, SKIN CARE"
"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",MARTINS FOODS,BREYERS,FROZEN DESSERTS,Reeses Ice Cream Giant Martin,FROZEN DESSERTS,FROZEN,FROZEN,"Reeses Ice Cream Giant Martin BREYERS MARTINS FOODS FROZEN DESSERTS, FROZEN"
Brita® Pitcher AND Filter,,BRITA,WATER,Pitcher Filter,WATER,BEVERAGES,,"Pitcher Filter BRITA   WATER, WATER"
Brita® Pitcher OR Dispenser,,BRITA,WATER,Pitcher Dispenser,WATER,BEVERAGES,,"Pitcher Dispenser BRITA   WATER, WATER"
Brita® Standard OR Elite Filters,,BRITA,WATER,Standard Elite Filters,WATER,BEVERAGES,,"Standard Elite Filters BRITA   WATER, WATER"
"Brownie Brittle® Snacks, select varieties, buy 2",,BROWNIE BRITTLE,BAKERY,Snacks,BAKERY,DELI & BAKERY,,"Snacks BROWNIE BRITTLE   BAKERY, BAKERY"
"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",WALMART,BURTS BEES,HAIR REMOVAL,Facial Wipes,HAIR REMOVAL,HEALTH & WELLNESS,,"Facial Wipes BURTS BEES WALMART HAIR REMOVAL, HAIR REMOVAL"
"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,SKIN CARE,Sensitive Lotions Creams,SKIN CARE,HEALTH & WELLNESS,,"Sensitive Lotions Creams BURTS BEES WALMART SKIN CARE, SKIN CARE"
"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,SKIN CARE,Sensitive Lotions Creams,SKIN CARE,HEALTH & WELLNESS,,"Sensitive Lotions Creams BURTS BEES WALMART SKIN CARE, SKIN CARE"
"Burt's Bees® products, select varieties, at Walmart",WALMART,BURTS BEES,HAIR REMOVAL,Products,HAIR REMOVAL,HEALTH & WELLNESS,,"Products BURTS BEES WALMART HAIR REMOVAL, HAIR REMOVAL"
"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL RULER FOODS NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL DILLONS FOOD STORE NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,BUTTERBALL,NUT BUTTERS & JAM,Food Less,NUT BUTTERS & JAM,PANTRY,,"Food Less BUTTERBALL FOOD4LESS NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL FRED MEYER NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Fry's Food Store",FRYS FOOD STORE,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL FRYS FOOD STORE NUT BUTTERS & JAM, NUT BUTTERS & JAM"
